start	end	kind	owner	instructions	calls
97b93cbc	97b93cd4	table	TIntermConstantUnion::fold	6	
97b93da8	97b93dc0	table	TIntermConstantUnion::fold	6	
97b93ed8	97b93fc0	switch-code	TIntermConstantUnion::fold	58	__ZN13TInfoSinkBase6appendEPKc,__ZNSsC1EPKcRKSaIcE,_sprintf
97b94184	97b9419c	table	TIntermConstantUnion::fold	6	
97b94344	97b943d4	switch-code	TIntermConstantUnion::fold	36	__ZN13TInfoSinkBase6appendEPKc,_sprintf
97b94568	97b94650	switch-code	TIntermConstantUnion::fold	58	__ZN13TInfoSinkBase6appendEPKc,__ZNSsC1EPKcRKSaIcE,_sprintf
97b948f8	97b94940	table	TIntermConstantUnion::fold	18	
97b94998	97b94ac4	switch-code	TIntermConstantUnion::fold	75	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b94d24	97b94d6c	switch-code	TIntermConstantUnion::fold	18	
97b94dcc	97b94ef4	switch-code	TIntermConstantUnion::fold	74	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b95284	97b9529c	table	TIntermConstantUnion::fold	6	
97b95438	97b95544	switch-code	TIntermConstantUnion::fold	67	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b95644	97b9565c	table	TIntermConstantUnion::fold	6	
97b956e0	97b956f8	table	TIntermConstantUnion::fold	6	
97b958f4	97b9590c	table	TIntermConstantUnion::fold	6	
97b95a98	97b95bb4	switch-code	TIntermConstantUnion::fold	71	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b960f4	97b9610c	table	TIntermediate::promoteConstantUnion	6	
97b961b0	97b961c8	table	TIntermediate::promoteConstantUnion	6	
97b962a0	97b962b8	table	TIntermediate::promoteConstantUnion	6	
97b962f4	97b9641c	switch-code	TIntermediate::promoteConstantUnion	74	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b97308	97b9737c	switch-code	OutputAggregate	29	__ZN13TInfoSinkBase6appendEPKc
97b978c8	97b979e0	switch-code	OutputConstantUnion	70	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b985ec	97b986fc	switch-code	ParseSymbol	68	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b9885c	97b98984	switch-code	ParseSymbol	74	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b98af0	97b98b08	table	ParseSymbol	6	
97b98ba8	97b98bc0	table	ParseSymbol	6	
97b98c68	97b98c80	table	ParseSymbol	6	
97b98cbc	97b98dd8	switch-code	ParseSymbol	71	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b98efc	97b99028	switch-code	ParseBinary	75	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b99064	97b9907c	table	ParseBinary	6	
97b99088	97b990b4	other	FUN_97b9907c	11	
97b9925c	97b99274	table	ParseUnary	6	
97b99280	97b992ac	other	FUN_97b99274	11	
97b99480	97b995a0	switch-code	ParseAggregate	72	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b99884	97b9989c	table	ParseSelection	6	
97b998a8	97b998d4	other	FUN_97b9989c	11	
97b99ea0	97b99eb8	table	ParseLoop	6	
97b99ec4	97b99ef0	other	FUN_97b99eb8	11	
97b9a034	97b9a04c	table	ParseBranch	6	
97b9a058	97b9a084	other	FUN_97b9a04c	11	
97b9a408	97b9a470	table	TParseContext::parseVectorFields	26	
97b9a82c	97b9a844	table	TParseContext::error	6	
97b9a850	97b9a87c	other	FUN_97b9a844	11	
97b9ace8	97b9ad30	table	TParseContext::lValueErrorCheck	18	
97b9b22c	97b9b26c	table	TParseContext::constructorErrorCheck	16	
97b9cdd0	97b9cef0	switch-code	TParseContext::arraySetMaxSize	72	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b9d6c4	97b9d884	switch-code	TParseContext::extensionErrorCheck	112	__ZN13TInfoSinkBase6appendEPKc,__ZNSbIcSt11char_traitsIcE14pool_allocatorIcEE4_Rep10_M_destroyERKS2_,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97b9ee34	97b9ee70	table	TParseContext::constructBuiltIn	15	
97b9f1cc	97b9f2f8	switch-code	TParseContext::addConstVectorNode	75	__ZN13TInfoSinkBase6appendEPKc,__ZN13TParseContext7recoverEv,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97ba09a0	97ba09a4	millicode	_ShConstructCompiler	1	
97ba0d70	97ba0e18	switch-code	initializeSymbolTable	42	__ZN13TInfoSinkBase6appendEPKc
97ba0eac	97ba0fd8	switch-code	initializeSymbolTable	75	_FinalizePreprocessor,__ZN13TInfoSinkBase6appendEPKc,__ZNSbIcSt11char_traitsIcE14pool_allocatorIcEE4_Rep10_M_destroyERKS2_,__ZNSt8_Rb_treeISbIcSt11char_traitsIcE14pool_allocatorIcEESt4pairIKS4_9TBehaviorESt10_Select1stIS8_ESt4lessIS4_ES2_IS8_EE8_M_eraseEPSt13_Rb_tree_nodeIS8_E,__ZNSt8_Rb_treeISbIcSt11char_traitsIcE14pool_allocatorIcEESt4pairIKS4_S4_ESt10_Select1stIS7_ESt4lessIS4_ES2_IS7_EE8_M_eraseEPSt13_Rb_tree_nodeIS7_E
97ba1b34	97ba1b4c	table	_ShLink	6	
97ba1ba0	97ba1c18	switch-code	_ShLink	30	__ZN13TInfoSinkBase6appendEPKc
97ba2710	97ba274c	table	TType::buildMangledName	15	
97ba39cc	97ba3d2c	table	yyparse	216	
97bac350	97bac5a0	table	yylex	148	
97bae338	97bae350	table	_CPPWarningToInfoLog	6	
97bae35c	97bae388	other	_CPPWarningToInfoLog	11	
97baf1c8	97baf2e4	switch-code	_updateExtensionBehavior	71	__ZN13TInfoSinkBase6appendEPKc,__ZNSs4_Rep10_M_destroyERKSaIcE,__ZNSsC1EPKcRKSaIcE,_sprintf
97baf4e4	97baf514	table	PrintAttribute	12	
97baf5f4	97baf608	table	PrintAttribute	5	
97baf6f0	97baf73c	table	PrintParam	19	
97baf7bc	97baf7dc	table	PrintParam	8	
97baf924	97baf93c	table	PrintParam	6	
97bafb28	97bafb40	table	PrintParam	6	
97bafc58	97bafc84	table	PrintOutput	11	
97bb211c	97bb2194	switch-code	TGenericLinker::FindChunkDelta	30	__ZN13TInfoSinkBase6appendEPKc
97bb22a4	97bb231c	switch-code	TGenericLinker::MergeCompilers	30	__ZN13TInfoSinkBase6appendEPKc
97bb2824	97bb28a0	switch-code	TGenericLinker::MergeCompilers	31	__ZN13TInfoSinkBase6appendEPKc
97bb2994	97bb29ac	table	TGenericLinker::MergeCompilers	6	
97bb2a2c	97bb2ab0	switch-code	TGenericLinker::MergeCompilers	33	__ZN13TInfoSinkBase6appendEPKc,_free
97bb2c78	97bb2cf8	switch-code	TGenericLinker::MergeCompilers	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb3324	97bb33a4	switch-code	TGenericLinker::CreateFromStreamWithSymbolTableUpdate	32	_PPStreamFree,__ZN13TInfoSinkBase6appendEPKc
97bb359c	97bb3618	switch-code	TGenericLinker::RemoveUnreachableFunctions	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb3714	97bb3790	switch-code	TGenericLinker::RemoveUnreachableFunctions	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb3c70	97bb3cec	switch-code	TGenericLinker::RemoveExtraVertexOutputs	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb4454	97bb44d0	switch-code	TGenericLinker::OptimizeFunctionIO	31	__ZN13TInfoSinkBase6appendEPKc,_free
97bb4c20	97bb4ca0	switch-code	TGenericLinker::AddAttribBinding	32	__ZN13TInfoSinkBase6appendEPKc,_free
97bb4cdc	97bb4d50	switch-code	TGenericLinker::AddAttribBinding	29	__ZN13TInfoSinkBase6appendEPKc
