entry	function	register	class	first reader / imports
97c08730	_HashSetAdd	r7	PASS-indirect	97c0875c bctrl 
97c08730	_HashSetAdd	r8	PASS-indirect	97c0875c bctrl 
97c08840	_HashSetGet	r5	PASS-indirect	97c08868 bctrl 
97c08840	_HashSetGet	r6	PASS-indirect	97c08868 bctrl 
97c08840	_HashSetGet	r7	PASS-indirect	97c08868 bctrl 
97c08840	_HashSetGet	r8	PASS-indirect	97c08868 bctrl 
97c088f0	_HashSetRemove	r5	PASS-indirect	97c08918 bctrl 
97c088f0	_HashSetRemove	r6	PASS-indirect	97c08918 bctrl 
97c088f0	_HashSetRemove	r7	PASS-indirect	97c08918 bctrl 
97c088f0	_HashSetRemove	r8	PASS-indirect	97c08918 bctrl 
97c08b54	_HashTableAdd	r6	PASS-indirect	97c08b88 bctrl 
97c08b54	_HashTableAdd	r7	PASS-indirect	97c08b88 bctrl 
97c08b54	_HashTableAdd	r8	PASS-indirect	97c08b88 bctrl 
97c08ca4	_HashTableGet	r5	PASS-indirect	97c08ccc bctrl 
97c08ca4	_HashTableGet	r6	PASS-indirect	97c08ccc bctrl 
97c08ca4	_HashTableGet	r7	PASS-indirect	97c08ccc bctrl 
97c08ca4	_HashTableGet	r8	PASS-indirect	97c08ccc bctrl 
97c1a23c	FUN_97c1a23c	r3	DEAD	
97c1a25c	FUN_97c1a25c	r3	RET	97c1a270 blr 
97c1bb6c	__Unwind_RaiseException	r6	PASS-no	97c1bb74 bl save_world
97c1bb6c	__Unwind_RaiseException	r7	PASS-no	97c1bb74 bl save_world
97c1bb6c	__Unwind_RaiseException	r8	PASS-no	97c1bb74 bl save_world
97c1bb6c	__Unwind_RaiseException	r9	PASS-no	97c1bb74 bl save_world
97c1be20	__Unwind_Resume	r6	PASS-no	97c1be28 bl save_world
97c1be20	__Unwind_Resume	r7	PASS-no	97c1be28 bl save_world
97c1be20	__Unwind_Resume	r8	PASS-no	97c1be28 bl save_world
97c1be20	__Unwind_Resume	r9	PASS-no	97c1be28 bl save_world
97c1cb40	_frame_heapsort	r6	PASS-indirect	97c1cbb0 bctrl 
97c1cb40	_frame_heapsort	r7	PASS-indirect	97c1cbb0 bctrl 
97c1cb40	_frame_heapsort	r8	PASS-indirect	97c1cbb0 bctrl 
