entry	function	register	class	first reader / imports
97b8b11c	__Z16IdentifyBuiltIns11EShLanguageR12TSymbolTable	r6	PASS-indirect	97b8b95c bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b8b11c	__Z16IdentifyBuiltIns11EShLanguageR12TSymbolTable	r7	PASS-indirect	97b8b95c bl 0x97c1e940	; symbol stub for: __Z22GetGl
97b8e624	TIntermediate::addConversion	r7	PASS-indirect	97b8e65c bctrl 
97b8e624	TIntermediate::addConversion	r8	PASS-indirect	97b8e65c bctrl 
97b8fae0	TIntermediate::addComma	r7	PASS-indirect	97b8fb1c bctrl 
97b8fae0	TIntermediate::addComma	r8	PASS-indirect	97b8fb1c bctrl 
97b915d4	compareStructure	r7	PASS-indirect	97b91630 bctrl 
97b915d4	compareStructure	r8	PASS-indirect	97b91630 bctrl 
97b95c0c	TIntermediate::changeAggrToTempConst	r7	PASS-indirect	97b95c44 bctrl 
97b95c0c	TIntermediate::changeAggrToTempConst	r8	PASS-indirect	97b95c44 bctrl 
97b95f40	TIntermediate::promoteConstantUnion	r6	PASS-indirect	97b95f84 bctrl 
97b95f40	TIntermediate::promoteConstantUnion	r7	PASS-indirect	97b95f84 bctrl 
97b95f40	TIntermediate::promoteConstantUnion	r8	PASS-indirect	97b95f84 bctrl 
97b95f40	TIntermediate::promoteConstantUnion	r9	PASS-indirect	97b95f84 bctrl 
97b96820	__ZN13TIntermediate15removeChildNodeEP12TIntermTypedP5TTypeP16TIntermAggregate	r7	PASS-indirect	97b96850 bctrl 
97b96820	__ZN13TIntermediate15removeChildNodeEP12TIntermTypedP5TTypeP16TIntermAggregate	r8	PASS-indirect	97b96850 bctrl 
97b96a10	TIntermediate::removeMatrixConstNode	r8	PASS-indirect	97b96a50 bctrl 
97b9a31c	TParseContext::parseVectorFields	r10	PASS-vararg	97b9a564 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9aec8	TParseContext::constErrorCheck	r8	PASS-indirect	97b9aef8 bctrl 
97b9aec8	TParseContext::constErrorCheck	r9	PASS-indirect	97b9aef8 bctrl 
97b9aec8	TParseContext::constErrorCheck	r10	PASS-indirect	97b9aef8 bctrl 
97b9af54	TParseContext::integerErrorCheck	r8	PASS-indirect	97b9af88 bctrl 
97b9af54	TParseContext::integerErrorCheck	r9	PASS-indirect	97b9af88 bctrl 
97b9af54	TParseContext::integerErrorCheck	r10	PASS-indirect	97b9af88 bctrl 
97b9b000	TParseContext::globalErrorCheck	r9	PASS-vararg	97b9b034 bl __ZN13TParseContext5errorEiPKcS1_S1_z
97b9b000	TParseContext::globalErrorCheck	r10	PASS-vararg	97b9b034 bl __ZN13TParseContext5errorEiPKcS1_S1_z
