name	address	section	ghidra_type	len	c_declaration	value	defined_in
DAT_a7b7bf6c	0xa7b7bf6c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf6c asm("DAT_a7b7bf6c");	pointer -> _defaultEqualsFunction	data.s
DAT_a7b7bf70	0xa7b7bf70	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf70 asm("DAT_a7b7bf70");	pointer -> _defaultHashFunction	data.s
DAT_a7b7bf74	0xa7b7bf74	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf74 asm("DAT_a7b7bf74");	pointer -> _instructionIndexEqualsFunction	data.s
DAT_a7b7bf78	0xa7b7bf78	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf78 asm("DAT_a7b7bf78");	pointer -> _instructionIndexHashFunction	data.s
DAT_a7b7bf7c	0xa7b7bf7c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf7c asm("DAT_a7b7bf7c");	pointer -> _regEqualsFunction	data.s
DAT_a7b7bf80	0xa7b7bf80	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf80 asm("DAT_a7b7bf80");	0x97c0b4a4	data.s
_S_empty_rep_storage	0xa7b7bf84	__DATA,__data	undefined1	1		0x00000000	data.s
DAT_a7b7bf8c	0xa7b7bf8c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7bf8c asm("DAT_a7b7bf8c");	0x00000000	data.s
SYM_a7b7bf8c	0xa7b7bf8c	__DATA,__data	undefined4	4		0x00000000	data.s
DAT_a7b7bf90	0xa7b7bf90	__DATA,__data	-	-	extern unsigned char DAT_a7b7bf90 asm("DAT_a7b7bf90");	0x00000000	data.s
_S_start_free	0xa7b7bfd4	__DATA,__data	undefined4	4		0x00000000	data.s
_S_end_free	0xa7b7bfd8	__DATA,__data	undefined4	4		0x00000000	data.s
_S_heap_size	0xa7b7bfdc	__DATA,__data	undefined4	4		0x00000000	data.s
_S_node_allocator_lock	0xa7b7bfe0	__DATA,__data	undefined1	1		0x32aaaba7	data.s
SYM_a7b7c00c	0xa7b7c00c	__DATA,__data	undefined4	4		0x00000000	data.s
_S_force_new	0xa7b7c00c	__DATA,__data	undefined4	4		0x00000000	data.s
__default_alloc_template_true_0____S_force_new	0xa7b7c00c	__DATA,__data	undefined4	4		0x00000000	data.s
DAT_a7b7c010	0xa7b7c010	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c010 asm("DAT_a7b7c010");	pointer -> LD_a7b7de10	data.s
DAT_a7b7c014	0xa7b7c014	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c014 asm("DAT_a7b7c014");	pointer -> LD_a7b7de28	data.s
DAT_a7b7c018	0xa7b7c018	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c018 asm("DAT_a7b7c018");	pointer -> LD_a7b7dee8	data.s
DAT_a7b7c01c	0xa7b7c01c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c01c asm("DAT_a7b7c01c");	pointer -> LD_a7b7df18	data.s
DAT_a7b7c020	0xa7b7c020	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c020 asm("DAT_a7b7c020");	pointer -> LD_a7b7df48	data.s
DAT_a7b7c024	0xa7b7c024	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c024 asm("DAT_a7b7c024");	pointer -> LD_a7b7df78	data.s
DAT_a7b7c028	0xa7b7c028	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c028 asm("DAT_a7b7c028");	pointer -> LD_a7b7df90	data.s
DAT_a7b7c02c	0xa7b7c02c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c02c asm("DAT_a7b7c02c");	pointer -> LD_a7b7dfa8	data.s
DAT_a7b7c030	0xa7b7c030	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c030 asm("DAT_a7b7c030");	pointer -> LD_a7b7dfc8	data.s
DAT_a7b7c034	0xa7b7c034	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c034 asm("DAT_a7b7c034");	pointer -> LD_a7b7dfe0	data.s
___new_handler	0xa7b7c038	__DATA,__data	undefined4	4		0x00000000	data.s
DAT_a7b7c03c	0xa7b7c03c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c03c asm("DAT_a7b7c03c");	pointer -> LD_a7b7dff8	data.s
_emergency_mutex	0xa7b7c040	__DATA,__data	-	-		0x32aaaba7	data.s
DAT_a7b7c06c	0xa7b7c06c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c06c asm("DAT_a7b7c06c");	pointer -> __Z23__gxx_exception_cleanup19_Unwind_Reason_CodeP17_Unwind_Exception	data.s
__cxxabiv1____terminate_handler	0xa7b7c070	__DATA,__data	undefined4	4		pointer -> _abort+2417153880	data.s
__terminate_handler	0xa7b7c070	__DATA,__data	undefined4	4		pointer -> _abort+2417153880	data.s
__cxxabiv1____unexpected_handler	0xa7b7c074	__DATA,__data	undefined4	4		pointer -> __ZSt9terminatev	data.s
__unexpected_handler	0xa7b7c074	__DATA,__data	undefined4	4		pointer -> __ZSt9terminatev	data.s
_use_thread_key	0xa7b7c078	__DATA,__data	undefined4	4		0xffffffff	data.s
_once_regsizes_0	0xa7b7c07c	__DATA,__data	-	-		0x30b1bcba	data.s
DAT_a7b7c084	0xa7b7c084	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c084 asm("DAT_a7b7c084");	pointer -> _init_dwarf_reg_size_table	data.s
DAT_a7b7c088	0xa7b7c088	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c088 asm("DAT_a7b7c088");	pointer -> _live_image_destructor	data.s
DAT_a7b7c08c	0xa7b7c08c	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c08c asm("DAT_a7b7c08c");	pointer -> _fde_single_encoding_compare	data.s
DAT_a7b7c090	0xa7b7c090	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c090 asm("DAT_a7b7c090");	pointer -> _fde_unencoded_compare	data.s
DAT_a7b7c094	0xa7b7c094	__DATA,__data	undefined4	4	extern unsigned int DAT_a7b7c094 asm("DAT_a7b7c094");	pointer -> _fde_mixed_encoding_compare	data.s
dyld_lazy_symbol_binding_entry_point	0xa7b7c098	__DATA,__dyld	undefined4	4		0x8fe01000	toolchain (crt/dyld data)
dyld_func_lookup_pointer	0xa7b7c09c	__DATA,__dyld	undefined4	4		0x8fe01008	toolchain (crt/dyld data)
PTR___mh_dylib_header_a7b7c0a0	0xa7b7c0a0	__DATA,__nl_symbol_ptr	pointer	4	extern unsigned char *PTR___mh_dylib_header_a7b7c0a0 asm("PTR___mh_dylib_header_a7b7c0a0");	pointer -> __mh_dylib_header	data.s
