000030d0	88	method	DONE	IOATIR500Accelerator::allocDataBufferBacking	__ZN20IOATIR500Accelerator22allocDataBufferBackingEP19VendorTextureBuffer
00003128	16	stub	n/a	FUN_00003128	
00003140	372	method	DONE	IOATIR500Accelerator::pageOffDataBuffer	__ZN20IOATIR500Accelerator17pageOffDataBufferEP19VendorTextureBuffer
000032b4	16	stub	n/a	IOATIR500Accelerator::allocDataBufferBacking	
000032d0	308	method	DONE	IOATIR500Accelerator::freeOneDataBuffer	__ZN20IOATIR500Accelerator17freeOneDataBufferEP19VendorTextureBuffer
00003410	112	method	MISSING	IOATIR500Accelerator::freeAllDataBuffers	__ZN20IOATIR500Accelerator18freeAllDataBuffersEv
00003484	16	stub	n/a	IOATIR500Accelerator::freeOneDataBuffer	
000034a0	4	method	MISSING	IOATIR500Accelerator::pageoff_dirty_texture	__ZN20IOATIR500Accelerator21pageoff_dirty_textureEP19VendorTextureBufferll
000034b0	60	method	DONE	IOATIR500Accelerator::addTransferToGART	__ZN20IOATIR500Accelerator17addTransferToGARTEP20VendorTransferBuffer
000034f0	136	method	DONE	IOATIR500Accelerator::removeTransferFromGART	__ZN20IOATIR500Accelerator22removeTransferFromGARTEP20VendorTransferBuffer
00003580	212	method	DONE	IOATIR500Accelerator::freeTransferToAllocGART	__ZN20IOATIR500Accelerator23freeTransferToAllocGARTEP20VendorTransferBufferS1_mb
00003670	8	method	MISSING	IOATIR500Accelerator::makeGARTEntry	__ZN20IOATIR500Accelerator13makeGARTEntryEm
00003680	328	method	DONE	IOATIR500Accelerator::freeOrphanTexture	__ZN20IOATIR500Accelerator17freeOrphanTextureEb
000037cc	16	stub	n/a	IOATIR500Shared::free_texvert	
000037dc	16	stub	n/a	FUN_000037dc	
000037f0	1108	method	DONE	IOATIR500Accelerator::freeWaitToAllocGART	__ZN20IOATIR500Accelerator19freeWaitToAllocGARTEP18IOATIR5002DContextP19IOATIR500DVDContextP18IOATIR500GLContextP16IOATIR500SurfaceP15IOATIR500SharedP20VendorTransferBufferb
00003c44	16	stub	n/a	IOATIR500Accelerator::freeTransferToAllocGART	
00003c54	16	stub	n/a	IOATIR500Surface::freeToAllocGART	
00003c64	16	stub	n/a	IOATIR500GLContext::freeToAllocGART	
00003c74	16	stub	n/a	IOATIR500DVDContext::freeToAllocGART	
00003c84	16	stub	n/a	IOATIR5002DContext::freeToAllocGART	
00003c94	16	stub	n/a	IOATIR500Shared::freeToAllocGART	
00003ca4	16	stub	n/a	IOATIR500Accelerator::freeOrphanTexture	
00003cc0	140	method	DONE	IOATIR500Accelerator::freeToAllocGART	__ZN20IOATIR500Accelerator15freeToAllocGARTEP18IOATIR5002DContextP19IOATIR500DVDContextP18IOATIR500GLContextP16IOATIR500SurfaceP15IOATIR500SharedP20VendorTransferBuffer
00003d4c	16	stub	n/a	IOATIR500Accelerator::freeWaitToAllocGART	
00003d60	488	method	DONE	IOATIR500Accelerator::tossSurfacesForVRAM	__ZN20IOATIR500Accelerator19tossSurfacesForVRAMEP16IOATIR500SurfacePP19VendorTextureBufferlS3_b
00003f48	16	stub	n/a	IOATIR500Surface::move_buffer_to_backing_store	
00003f60	1500	method	DONE	IOATIR500Accelerator::freeToAllocTextureVRAM	__ZN20IOATIR500Accelerator22freeToAllocTextureVRAMEP16IOATIR500SurfacePP19VendorTextureBufferlS3_
00004574	16	stub	n/a	IOATIR500Accelerator::tossSurfacesForVRAM	
00004590	8	method	DONE	IOATIR500Accelerator::alloc_surface_buffer	__ZN20IOATIR500Accelerator20alloc_surface_bufferEP20ATIR500SurfaceBuffer
000045a0	988	method	DONE	IOATIR500Accelerator::freeToAllocSurfaceVRAM	__ZN20IOATIR500Accelerator22freeToAllocSurfaceVRAMEP16IOATIR500SurfaceS1_PP19VendorTextureBufferlP20ATIR500SurfaceBuffer
000049b0	16	stub	n/a	IOATIR500Surface::move_buffer_to_backing_store	
000049c0	144	method	DONE	IOATIR500Accelerator::addOrphanTexture	__ZN20IOATIR500Accelerator16addOrphanTextureEP15IOTextureBuffer
00004a50	64	method	MISSING	IOATIR500Accelerator::garbage_collector_timer	__ZN20IOATIR500Accelerator23garbage_collector_timerEP8OSObjectP18IOTimerEventSource
00004a90	516	method	MISSING	IOATIR500Accelerator::free_gart_wirings	__ZN20IOATIR500Accelerator17free_gart_wiringsEv
00004cac	16	stub	n/a	FUN_00004cac	
00004cbc	16	stub	n/a	FUN_00004cbc	
00004ccc	16	stub	n/a	FUN_00004ccc	
00004ce0	64	method	MISSING	IOATIR500Accelerator::gart_collector_timer	__ZN20IOATIR500Accelerator20gart_collector_timerEP8OSObjectP18IOTimerEventSource
00004d20	136	method	DONE	IOATIR500Accelerator::getVRAMDescriptors	__ZN20IOATIR500Accelerator18getVRAMDescriptorsEv
00004da8	16	stub	n/a	FUN_00004da8	
00004dc0	232	method	DONE	IOATIR500Accelerator::allocVendorTextureBuffer	__ZN20IOATIR500Accelerator24allocVendorTextureBufferEm
00004ea8	16	stub	n/a	FUN_00004ea8	
00004ec0	68	method	DONE	IOATIR500Accelerator::releaseVendorTextureBuffer	__ZN20IOATIR500Accelerator26releaseVendorTextureBufferEP19VendorTextureBufferm
00004f04	16	stub	n/a	FUN_00004f04	
00004f20	148	method	MISSING	IOATIR500Accelerator::mapVendorTransferBuffer	__ZN20IOATIR500Accelerator23mapVendorTransferBufferEP20VendorTransferBuffer
00004fe0	144	method	MISSING	IOATIR500Accelerator::unmapVendorTransferBuffer	__ZN20IOATIR500Accelerator25unmapVendorTransferBufferEP20VendorTransferBuffer
00005090	188	method	MISSING	IOATIR500Accelerator::teardownAGP	__ZN20IOATIR500Accelerator11teardownAGPEP9IOService
0000514c	16	stub	n/a	FUN_0000514c	
00005160	48	method	MISSING	IOATIR500Accelerator::commitAGPMemory	__ZN20IOATIR500Accelerator15commitAGPMemoryEP18IOMemoryDescriptormm
00005190	48	method	MISSING	IOATIR500Accelerator::releaseAGPMemory	__ZN20IOATIR500Accelerator16releaseAGPMemoryEP18IOMemoryDescriptormm
000051c0	60	method	MISSING	IOATIR500Accelerator::reserveInGART	__ZN20IOATIR500Accelerator13reserveInGARTEm
