000030a8	16	FUN_000030a8	FUN_000030a8
000030b8	16	FUN_000030b8	FUN_000030b8
000030d0	88	IOATIR500Accelerator::allocDataBufferBacking	allocDataBufferBacking,__ZN20IOATIR500Accelerator22allocDataBufferBackingEP19VendorTextureBuffer
00003128	16	FUN_00003128	FUN_00003128
00003140	372	IOATIR500Accelerator::pageOffDataBuffer	pageOffDataBuffer,__ZN20IOATIR500Accelerator17pageOffDataBufferEP19VendorTextureBuffer
000032b4	16	IOATIR500Accelerator::allocDataBufferBacking	allocDataBufferBacking
000032d0	308	IOATIR500Accelerator::freeOneDataBuffer	freeOneDataBuffer,__ZN20IOATIR500Accelerator17freeOneDataBufferEP19VendorTextureBuffer
00003410	112	IOATIR500Accelerator::freeAllDataBuffers	freeAllDataBuffers,__ZN20IOATIR500Accelerator18freeAllDataBuffersEv
00003484	16	IOATIR500Accelerator::freeOneDataBuffer	freeOneDataBuffer
000034a0	4	IOATIR500Accelerator::pageoff_dirty_texture	pageoff_dirty_texture,__ZN20IOATIR500Accelerator21pageoff_dirty_textureEP19VendorTextureBufferll
000034b0	60	IOATIR500Accelerator::addTransferToGART	addTransferToGART,__ZN20IOATIR500Accelerator17addTransferToGARTEP20VendorTransferBuffer
000034f0	136	IOATIR500Accelerator::removeTransferFromGART	removeTransferFromGART,__ZN20IOATIR500Accelerator22removeTransferFromGARTEP20VendorTransferBuffer
00003580	212	IOATIR500Accelerator::freeTransferToAllocGART	freeTransferToAllocGART,__ZN20IOATIR500Accelerator23freeTransferToAllocGARTEP20VendorTransferBufferS1_mb
00003670	8	IOATIR500Accelerator::makeGARTEntry	makeGARTEntry,__ZN20IOATIR500Accelerator13makeGARTEntryEm
00003680	328	IOATIR500Accelerator::freeOrphanTexture	freeOrphanTexture,__ZN20IOATIR500Accelerator17freeOrphanTextureEb
000037cc	16	IOATIR500Shared::free_texvert	free_texvert
000037dc	16	FUN_000037dc	FUN_000037dc
000037f0	1108	IOATIR500Accelerator::freeWaitToAllocGART	freeWaitToAllocGART,__ZN20IOATIR500Accelerator19freeWaitToAllocGARTEP18IOATIR5002DContextP19IOATIR500DVDContextP18IOATIR500GLContextP16IOATIR500SurfaceP15IOATIR500SharedP20VendorTransferBufferb
00003c44	16	IOATIR500Accelerator::freeTransferToAllocGART	freeTransferToAllocGART
00003c54	16	IOATIR500Surface::freeToAllocGART	freeToAllocGART
00003c64	16	IOATIR500GLContext::freeToAllocGART	freeToAllocGART
00003c74	16	IOATIR500DVDContext::freeToAllocGART	freeToAllocGART
00003c84	16	IOATIR5002DContext::freeToAllocGART	freeToAllocGART
00003c94	16	IOATIR500Shared::freeToAllocGART	freeToAllocGART
00003ca4	16	IOATIR500Accelerator::freeOrphanTexture	freeOrphanTexture
00003cc0	140	IOATIR500Accelerator::freeToAllocGART	freeToAllocGART,__ZN20IOATIR500Accelerator15freeToAllocGARTEP18IOATIR5002DContextP19IOATIR500DVDContextP18IOATIR500GLContextP16IOATIR500SurfaceP15IOATIR500SharedP20VendorTransferBuffer
00003d4c	16	IOATIR500Accelerator::freeWaitToAllocGART	freeWaitToAllocGART
00003d60	488	IOATIR500Accelerator::tossSurfacesForVRAM	tossSurfacesForVRAM,__ZN20IOATIR500Accelerator19tossSurfacesForVRAMEP16IOATIR500SurfacePP19VendorTextureBufferlS3_b
00003f48	16	IOATIR500Surface::move_buffer_to_backing_store	move_buffer_to_backing_store
00003f60	1500	IOATIR500Accelerator::freeToAllocTextureVRAM	freeToAllocTextureVRAM,__ZN20IOATIR500Accelerator22freeToAllocTextureVRAMEP16IOATIR500SurfacePP19VendorTextureBufferlS3_
00004574	16	IOATIR500Accelerator::tossSurfacesForVRAM	tossSurfacesForVRAM
00004590	8	IOATIR500Accelerator::alloc_surface_buffer	alloc_surface_buffer,__ZN20IOATIR500Accelerator20alloc_surface_bufferEP20ATIR500SurfaceBuffer
000045a0	988	IOATIR500Accelerator::freeToAllocSurfaceVRAM	freeToAllocSurfaceVRAM,__ZN20IOATIR500Accelerator22freeToAllocSurfaceVRAMEP16IOATIR500SurfaceS1_PP19VendorTextureBufferlP20ATIR500SurfaceBuffer
000049b0	16	IOATIR500Surface::move_buffer_to_backing_store	move_buffer_to_backing_store
000049c0	144	IOATIR500Accelerator::addOrphanTexture	addOrphanTexture,__ZN20IOATIR500Accelerator16addOrphanTextureEP15IOTextureBuffer
00004a50	64	IOATIR500Accelerator::garbage_collector_timer	garbage_collector_timer,__ZN20IOATIR500Accelerator23garbage_collector_timerEP8OSObjectP18IOTimerEventSource
00004a90	516	IOATIR500Accelerator::free_gart_wirings	free_gart_wirings,__ZN20IOATIR500Accelerator17free_gart_wiringsEv
00004cac	16	FUN_00004cac	FUN_00004cac
00004cbc	16	FUN_00004cbc	FUN_00004cbc
00004ccc	16	FUN_00004ccc	FUN_00004ccc
