13c210	FUN_0013c210	r9	PASS-no	13c234 bl 0xe07dc
13c210	FUN_0013c210	r10	PASS-no	13c234 bl 0xe07dc
13caf4	FUN_0013caf4	r6	PASS-no	13cb18 bl 0xe9294
13caf4	FUN_0013caf4	r7	PASS-no	13cb18 bl 0xe9294
13caf4	FUN_0013caf4	r8	PASS-no	13cb18 bl 0xe9294
13caf4	FUN_0013caf4	r9	PASS-no	13cb18 bl 0xe9294
14694c	FUN_0014694c	r5	USED	14694c cmpwi cr7,r5,0x0
147704	FUN_00147704	r7	PASS-deep	147724 bl 0x105594
147704	FUN_00147704	r8	PASS-deep	147724 bl 0x105594
148980	FUN_00148980	r6	PASS-no	1489a8 bl 0xe07dc
148980	FUN_00148980	r7	PASS-no	1489a8 bl 0xe07dc
148980	FUN_00148980	r8	PASS-no	1489a8 bl 0xe07dc
149de4	FUN_00149de4	r8	PASS-indirect	149e28 bctrl 
14e6e4	FUN_0014e6e4	r5	PASS-deep	14e9a4 bl 0x105594
14e6e4	FUN_0014e6e4	r6	PASS-deep	14e9a4 bl 0x105594
14e6e4	FUN_0014e6e4	r7	PASS-deep	14e9a4 bl 0x105594
14e6e4	FUN_0014e6e4	r8	PASS-deep	14e9a4 bl 0x105594
14e6e4	FUN_0014e6e4	r9	PASS-deep	14e9a4 bl 0x105594
1506d0	FUN_001506d0	r6	PASS-deep	1506f8 bl 0x146cd8
1506d0	FUN_001506d0	r7	PASS-deep	1506f8 bl 0x146cd8
1506d0	FUN_001506d0	r8	PASS-deep	1506f8 bl 0x146cd8
1506d0	FUN_001506d0	r9	PASS-deep	1506f8 bl 0x146cd8
1507d0	FUN_001507d0	r6	PASS-deep	150810 bl 0x105594
1507d0	FUN_001507d0	r7	PASS-deep	150810 bl 0x105594
1507d0	FUN_001507d0	r8	PASS-deep	150810 bl 0x105594
151a74	FUN_00151a74	r8	PASS-indirect	151ab0 bctrl 
1524b8	FUN_001524b8	r8	PASS-indirect	1524f4 bctrl 
152ea8	FUN_00152ea8	r6	PASS-indirect	152ee4 bctrl 
152ea8	FUN_00152ea8	r7	PASS-indirect	152ee4 bctrl 
152ea8	FUN_00152ea8	r8	PASS-indirect	152ee4 bctrl 
152ea8	FUN_00152ea8	r9	PASS-indirect	152ee4 bctrl 
1541f0	FUN_001541f0	r6	PASS-indirect	15422c bctrl 
1541f0	FUN_001541f0	r7	PASS-indirect	15422c bctrl 
1541f0	FUN_001541f0	r8	PASS-indirect	15422c bctrl 
1541f0	FUN_001541f0	r9	PASS-indirect	15422c bctrl 
154dc0	FUN_00154dc0	r7	PASS-deep	154e18 bl 0x105594
154dc0	FUN_00154dc0	r8	PASS-deep	154e18 bl 0x105594
159b58	FUN_00159b58	r7	PASS-deep	159bb8 bl 0x105594
159b58	FUN_00159b58	r8	PASS-deep	159bb8 bl 0x105594
15a68c	FUN_0015a68c	r6	PASS-indirect	15a6c4 bl 0x193e18
15a68c	FUN_0015a68c	r7	PASS-indirect	15a6c4 bl 0x193e18
15a68c	FUN_0015a68c	r8	PASS-indirect	15a6c4 bl 0x193e18
15c6d4	FUN_0015c6d4	r5	PASS-deep	15c708 bl 0x105594
15c6d4	FUN_0015c6d4	r6	PASS-deep	15c708 bl 0x105594
15c6d4	FUN_0015c6d4	r7	PASS-deep	15c708 bl 0x105594
15c6d4	FUN_0015c6d4	r8	PASS-deep	15c708 bl 0x105594
15e494	FUN_0015e494	r5	PASS-indirect	15e4d4 bctrl 
15ea3c	FUN_0015ea3c	r7	PASS-no	15ea90 bl 0x126760
15ea3c	FUN_0015ea3c	r8	PASS-no	15ea90 bl 0x126760
15f44c	FUN_0015f44c	r8	PASS-indirect	15f498 bl 0x105594
161748	FUN_00161748	r6	PASS-indirect	161784 bctrl 
161748	FUN_00161748	r7	PASS-indirect	161784 bctrl 
161748	FUN_00161748	r8	PASS-indirect	161784 bctrl 
161748	FUN_00161748	r9	PASS-indirect	161784 bctrl 
167ef4	FUN_00167ef4	r9	PASS-indirect	167f24 bctrl 
169e30	FUN_00169e30	r7	PASS-indirect	169e60 bl 0x193e18
169e30	FUN_00169e30	r8	PASS-indirect	169e60 bl 0x193e18
169e30	FUN_00169e30	r10	PASS-indirect	169e60 bl 0x193e18
16d538	FUN_0016d538	r7	PASS-indirect	16d55c bl 0x1045e4
16d538	FUN_0016d538	r8	PASS-indirect	16d55c bl 0x1045e4
171714	FUN_00171714	r6	PASS-no	171750 bl 0x10ddcc
171714	FUN_00171714	r7	PASS-no	171750 bl 0x10ddcc
171714	FUN_00171714	r8	PASS-no	171750 bl 0x10ddcc
171714	FUN_00171714	r10	PASS-no	171750 bl 0x10ddcc
171e68	FUN_00171e68	r5	PASS-no	171e88 bl 0x1940a8
171e68	FUN_00171e68	r6	PASS-no	171e88 bl 0x1940a8
171e68	FUN_00171e68	r7	PASS-no	171e88 bl 0x1940a8
171e68	FUN_00171e68	r8	PASS-no	171e88 bl 0x1940a8
171e68	FUN_00171e68	r9	PASS-no	171e88 bl 0x1940a8
173b98	FUN_00173b98	r7	PASS-indirect	173bd4 bl 0xe9c00
173b98	FUN_00173b98	r8	PASS-indirect	173bd4 bl 0xe9c00
173f1c	FUN_00173f1c	r5	PASS-indirect	173f50 bl 0x126760
173f1c	FUN_00173f1c	r6	PASS-indirect	173f50 bl 0x126760
173f1c	FUN_00173f1c	r7	PASS-indirect	173f50 bl 0x126760
175b40	FUN_00175b40	r6	PASS-deep	175bd4 bl 0x19423c
175b40	FUN_00175b40	r7	PASS-deep	175bd4 bl 0x19423c
175b40	FUN_00175b40	r8	PASS-deep	175bd4 bl 0x19423c
176c40	FUN_00176c40	r7	PASS-indirect	176cd0 bctrl 
176c40	FUN_00176c40	r8	PASS-indirect	176cd0 bctrl 
17750	FUN_00017750	r6	PASS-no	1784c bl 0xa180
17750	FUN_00017750	r7	PASS-no	1784c bl 0xa180
17750	FUN_00017750	r8	PASS-no	1784c bl 0xa180
17ab4c	FUN_0017ab4c	r6	PASS-indirect	17ab98 bl 0x178d78
17ab4c	FUN_0017ab4c	r7	PASS-indirect	17ab98 bl 0x178d78
17ab4c	FUN_0017ab4c	r8	PASS-indirect	17ab98 bl 0x178d78
17b12c	FUN_0017b12c	r7	PASS-no	17b154 bl 0xe07dc
17b12c	FUN_0017b12c	r8	PASS-no	17b154 bl 0xe07dc
17d6ac	FUN_0017d6ac	r7	PASS-deep	17d6dc bl 0x1054ec
17d6ac	FUN_0017d6ac	r8	PASS-deep	17d6dc bl 0x1054ec
17e1f4	FUN_0017e1f4	r6	PASS-deep	17e22c bl 0x1770e4
17e1f4	FUN_0017e1f4	r7	PASS-deep	17e22c bl 0x1770e4
17e1f4	FUN_0017e1f4	r8	PASS-deep	17e22c bl 0x1770e4
17e338	FUN_0017e338	r6	PASS-deep	17e354 bl 0x179c44
17e338	FUN_0017e338	r7	PASS-deep	17e354 bl 0x179c44
17e338	FUN_0017e338	r8	PASS-deep	17e354 bl 0x179c44
17ee0	FUN_00017ee0	r6	PASS-no	17f00 bl 0x1a3ae0	; symbol stub for: _getpid
17ee0	FUN_00017ee0	r7	PASS-no	17f00 bl 0x1a3ae0	; symbol stub for: _getpid
17ee0	FUN_00017ee0	r8	PASS-no	17f00 bl 0x1a3ae0	; symbol stub for: _getpid
17ee0	FUN_00017ee0	r9	PASS-no	17f00 bl 0x1a3ae0	; symbol stub for: _getpid
17ee0	FUN_00017ee0	r10	PASS-no	17f00 bl 0x1a3ae0	; symbol stub for: _getpid
17f1f8	FUN_0017f1f8	r7	PASS-deep	17f27c bl 0x1054ec
17f1f8	FUN_0017f1f8	r8	PASS-deep	17f27c bl 0x1054ec
18120	FUN_00018120	r10	PASS-no	18168 bl 0xa2f0
18ad08	FUN_0018ad08	r7	PASS-indirect	18ad4c bl 0x1043f0
18ad08	FUN_0018ad08	r8	PASS-indirect	18ad4c bl 0x1043f0
18b1bc	FUN_0018b1bc	r8	PASS-indirect	18b29c bl 0x19423c
18b654	FUN_0018b654	r7	PASS-deep	18b714 bl 0xf3a30
18b654	FUN_0018b654	r8	PASS-deep	18b714 bl 0xf3a30
18b9cc	FUN_0018b9cc	r7	PASS-indirect	18ba00 bl 0x126760
18b9cc	FUN_0018b9cc	r8	PASS-indirect	18ba00 bl 0x126760
